,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
94,あいつら全員同窓会,ZUTOMAYO,40577,https://open.spotify.com/track/2VIK6jaaKghS4QPHr6sAkv
95,"snow jam",Rin音,40429,https://open.spotify.com/track/6uUtmCz8XXep7n1QmC1jJG
96,ラストシーン,"Masaki Suda",40231,https://open.spotify.com/track/1YJhvLLaF3gyFQoFGrawoI
97,青と夏,"Mrs. GREEN APPLE",39899,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3
98,"Take a picture",NiziU,39788,https://open.spotify.com/track/0iEzzJ3zmNQqATy2MilumS
99,"ツバメ (feat. ミドリーズ)",YOASOBI,39730,https://open.spotify.com/track/0yzX8MYYJHw7A3PLvgEc7e
100,Tokimeki,Vaundy,39623,https://open.spotify.com/track/18gB0d6DaRPvrQBbl7WEuk
101,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",38831,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
102,高嶺の花子さん,"back number",38749,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l
103,紅蓮華,LiSA,38205,https://open.spotify.com/track/0qMip0B2D4ePEjBJvAtYre
104,ブルーベリー・ナイツ,"Macaroni Empitsu",38006,https://open.spotify.com/track/2UdvMWk0Z83lMJPbawy2Sm
105,花束のかわりにメロディーを,"Shota Shimizu",37515,https://open.spotify.com/track/2028QNsVTmp5IF7UK4ZnaE
106,"Nijiiro no Sensou","SEKAI NO OWARI",37432,https://open.spotify.com/track/5lkk7V7MbxxVbJ93qUO81D
107,"Stay Gold",BTS,37108,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
108,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",37046,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
109,"Smokin Out The Window","Bruno Mars",37011,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
110,Answer,"Lilas Ikuta",36893,https://open.spotify.com/track/5hVAQTNarrb3lmWqg9Ens4
111,U,"millennium parade",36451,https://open.spotify.com/track/32H7fwKsaYtSl6qiXFI6I6
112,"Life Goes On",BTS,36302,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
113,シル・ヴ・プレジデント,P丸様｡,36292,https://open.spotify.com/track/0nW1Aes1arNyR1fzEKXS2m
114,イージーゲーム,natsumi,35992,https://open.spotify.com/track/096qZRdXPOyvb5OP8NI7pw
115,まちがいさがし,"Masaki Suda",35931,https://open.spotify.com/track/55Ww4Pa1iIQMhh0MLMetjo
116,Savage,aespa,35573,https://open.spotify.com/track/3dbLT62Cvs46Ju7a8gpr36
117,不思議,"Gen Hoshino",35402,https://open.spotify.com/track/6NKn02oJDkUkRa9IHbMe3n
118,世界の秘密,Vaundy,35029,https://open.spotify.com/track/2T7ZvJAtL7xK04ww5rbmvo
119,大好物,SPITZ,34946,https://open.spotify.com/track/3W4yKXVQ2BPWUZT8gsCf7W
120,"Bad Habits","Ed Sheeran",34744,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
121,たぶん,YOASOBI,34702,https://open.spotify.com/track/398dL22bDbKbAmiOnPaq7o
122,インフェルノ,"Mrs. GREEN APPLE",34276,https://open.spotify.com/track/2vOAHp8PBBFYqvQUWSoITY
123,花束,"back number",34165,https://open.spotify.com/track/3QIAwtEEDOrv0g5NKCGrXZ
124,ヒロイン,"back number",34030,https://open.spotify.com/track/3hBAYbAECEix9raaTq8S3H
125,"Shape of You","Ed Sheeran",33112,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
126,ただ君に晴れ,ヨルシカ,32964,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
127,桜が降る夜は,Aimyon,32948,https://open.spotify.com/track/1iEsGutpDvMJG0zYqoKKmQ
128,のびしろ,"Creepy Nuts",32643,https://open.spotify.com/track/3bbIIVIwBoLqVcLebiEJFo
129,あの夢をなぞって,YOASOBI,32333,https://open.spotify.com/track/5ptl2PXkiSth54HCuGO7vN
130,ノーダウト,"Official HIGE DANdism",32239,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
131,君はロックを聴かない,Aimyon,32171,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
132,"Wherever you are","ONE OK ROCK",32007,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
133,奏(かなで),"Sukima Switch",31945,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG
134,僕のこと,"Mrs. GREEN APPLE",31903,https://open.spotify.com/track/0tnhoHUrHfcLi9hPknUFZ4
135,ナイトオンザプラネット,"Creep Hyp",31873,https://open.spotify.com/track/6czqj8wWkKxWSg7FyhrN5P
136,東京フラッシュ,Vaundy,31872,https://open.spotify.com/track/0jPZf5231RdBUMLFG1HqXi
137,"Rock with you",SEVENTEEN,31348,https://open.spotify.com/track/6LnEoRQKMcaFTR5UvaKuBy
138,オールドファッション,"back number",31264,https://open.spotify.com/track/0Xn30nT5EKFPsWvpiJ2Iav
139,"Step and a step",NiziU,31149,https://open.spotify.com/track/5DgAgJbHcm74RyA9YKj6k1
140,silent,"SEKAI NO OWARI",31129,https://open.spotify.com/track/7LsVUX6kePVHSohmWmAwaO
141,Anniversary,HIRAIDAI,30960,https://open.spotify.com/track/118KEprYqS3XNWdBoKzkEH
142,ハッピーエンド,"back number",30874,https://open.spotify.com/track/4GqO80eGXA542oTvlYv4LS
143,"0X1=LOVESONG (I Know I Love You) - Japanese Ver.","TOMORROW X TOGETHER",30819,https://open.spotify.com/track/4yRVrTMD8zLyaCVcirIAdu
144,優しい彗星,YOASOBI,30589,https://open.spotify.com/track/19fhOFi6pNGeZe5uiFlm7c
145,Shukumei,"Official HIGE DANdism",30329,https://open.spotify.com/track/0XaHPBAzPAC5ubwcRBqc1p
146,分かってないよ,WurtS,30046,https://open.spotify.com/track/5wosJVYKzl3g7XElM98m23
147,さよならエレジー,"Masaki Suda",29753,https://open.spotify.com/track/3oYD2O31b05fILFpv0AXRI
148,春泥棒,ヨルシカ,29721,https://open.spotify.com/track/1rr2DJOxV0sHXeUXCAz1yf
149,HANABI,Mr.Children,29669,https://open.spotify.com/track/0AU7xhipAm9Saq0k8A9Iua
150,"Ordinary days",milet,29574,https://open.spotify.com/track/6D5E8pz4YKYrjY9BqROTox
151,"One Last Kiss","Hikaru Utada",29532,https://open.spotify.com/track/5RhWszHMSKzb7KiXk4Ae0M
152,Lights,BTS,29367,https://open.spotify.com/track/3TDUktzfYXMWjkWqwoT5F1
153,Yesterday,"Official HIGE DANdism",29320,https://open.spotify.com/track/1kMlcLyljkrShV0LSdSGBz
154,MONEY,LISA,29218,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
155,月に吠える,ヨルシカ,29151,https://open.spotify.com/track/7sLxvJ2Lj4Kf2K6Wa7OEk1
156,DNA,BTS,29031,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
157,ハルノヒ,Aimyon,28694,https://open.spotify.com/track/1oNeSCt0CMekCyyLo06kFs
158,ヴァンパイア,DECO*27,28574,https://open.spotify.com/track/0m9QPTZzjtqCWY9Jg8poHc
159,CHILDAYS,"BLOOM VASE",28438,https://open.spotify.com/track/1g1AXdio16Yh5SXgPBXcfq
160,10月無口な君を忘れる,あたらよ,28380,https://open.spotify.com/track/2YQ8TlTmNheRI3VafoDpod
161,なにやってもうまくいかない,meiyo,28278,https://open.spotify.com/track/2ILz4eU7UCTv0Wup7F5lVt
162,全力少年,"Sukima Switch",28260,https://open.spotify.com/track/3Ztjw8utVpcrzms1RrsJvR
163,"One Right Now (with The Weeknd)","Post Malone",28223,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
164,"Poppin' Shakin'",NiziU,28053,https://open.spotify.com/track/0jfFu1W96AlrsMqXSZZlSt
165,Universe,"Official HIGE DANdism",27929,https://open.spotify.com/track/0RuLz62h4YPNXqdO20Fmf6
166,アイノカタチ,MISIA,27771,https://open.spotify.com/track/7mSVOYRseiZi20xtBKhHnF
167,ひまわりの約束,"Motohiro Hata",27744,https://open.spotify.com/track/45jGOHwYKgsRYbAJ8DR61d
168,往け,LiSA,27672,https://open.spotify.com/track/4cDm9C5jhBiIyYxVhQmMwB
169,瞬き,"back number",27636,https://open.spotify.com/track/7hIfpcdUZcyCKHYy8gp49E
170,チェリー,SPITZ,27527,https://open.spotify.com/track/1ihCiJaXRl4f6Sy4LJov5z
171,"I CAN'T STOP ME",TWICE,27503,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
172,"WANNABE - Japanese ver.",ITZY,27491,https://open.spotify.com/track/1F6lnQwfiEzq7ikNnODitc
173,ハレンチ,CHANMINA,27475,https://open.spotify.com/track/2BfzhBl79bcPOHHXAXJkTY
174,Happiness,Che'Nelle,27424,https://open.spotify.com/track/55JlyXw6KeFeVC9d9uCZ2K
175,愛唄,GReeeeN,27398,https://open.spotify.com/track/7iXHLtPosbHvglVSJ4rxLq
176,カイト,ARASHI,27105,https://open.spotify.com/track/5lo3L98nR2VpN2dM9UFJu0
177,愛を知るまでは,Aimyon,27101,https://open.spotify.com/track/5gh0y6ZmuppQvoPbAGkeE2
178,なんでも言っちゃって,LEX,26974,https://open.spotify.com/track/1ZGBwdBfy7M5XWGo4XoGlf
179,ワライカタ,"Yoru no Hitowarai",26968,https://open.spotify.com/track/1E0Cy5d2qcXTs8xVGwEEFO
180,グッバイ宣言,Chinozo,26958,https://open.spotify.com/track/2gbVuqze7bpndIy1q9rFvv
181,白銀,LiSA,26910,https://open.spotify.com/track/0f5hcKLCRgpdVV424X4XDQ
182,Laughter,"Official HIGE DANdism",26886,https://open.spotify.com/track/75fYFVXHzzwfc5yzFWlIlZ
183,Euphoria,BTS,26846,https://open.spotify.com/track/3p6hnejEQYXkiTO1lAzVc0
184,MAKAFUKA,RADWIMPS,26702,https://open.spotify.com/track/3cLn8Hci5ksZP4rVKGEeMk
185,小さな恋のうた,MONGOL800,26695,https://open.spotify.com/track/23atyJacJVHvB9RHBNhr35
186,キセキ,GReeeeN,26572,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts
187,ぎゅっと。,もさを。,26435,https://open.spotify.com/track/6nqfKM9JvQIiuAuzWZFvGW
188,アルデバラン,AI,26281,https://open.spotify.com/track/5dCWwd6RUQPxVZZ1igVvn6
189,僕らまた,SG,26262,https://open.spotify.com/track/5hzOyvCqy8sb39xGXUEdpb
190,こたえあわせ,JUJU,26225,https://open.spotify.com/track/46AAVTHrvm4Dt9Kwk2uGKo
191,雲の上,心之助,26179,https://open.spotify.com/track/2fMulWj1t8Sg10z2DPDQDm
192,結,"Saucy Dog",26176,https://open.spotify.com/track/5Anr2wqdL182BsI02iCbcd
193,Renegades,"ONE OK ROCK",26148,https://open.spotify.com/track/3RpFwqdROrxJvHywpT1pJ4
194,Haven't,YOASOBI,25904,https://open.spotify.com/track/33ALvsldNGJduk3Bqr7VjS
195,"Kick Start",BE:FIRST,25813,https://open.spotify.com/track/117quLEpL8CQIAhjF3u0G9
196,seeker,Novelbright,25808,https://open.spotify.com/track/4grVYKKkBF1oxFlzLokRKN
197,何度でも,"DREAMS COME TRUE",25593,https://open.spotify.com/track/6Qq8UOS6QzeSYFUVXC5wEB
198,旅路,"Fujii Kaze",25452,https://open.spotify.com/track/1EM9pvygHqQm03as6sxLg9
199,これからのこと,ケプラ,25349,https://open.spotify.com/track/2pD1Smkp93TSJy3nwsv6gn
200,"Cold Heart - PNAU Remix","Elton John",25304,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
