,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
55,"إتنين بليل",Lege-Cy,3911,https://open.spotify.com/track/6kG0pgi6lc00GzIB7OKX2j
56,"Basha E3temed",Abyusif,3801,https://open.spotify.com/track/4QrQgRLngf3cKoEdu3s6RH
57,"Amaken El Sahar","Amr Diab",3779,https://open.spotify.com/track/7lYXrmbJhunVGUYDGvZcL5
58,بطل,3enba,3765,https://open.spotify.com/track/3LxSKiIy0z4B9mEMHQZ77Q
59,"Kol El Nas","El Sawareekh",3764,https://open.spotify.com/track/6GjW5aqVmn2mIHdMiWn8sR
60,"Heat Waves","Glass Animals",3764,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
61,"My Little Love",Adele,3753,https://open.spotify.com/track/2DuPBbS5mIldXnh7Wum8Cy
62,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,3702,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
63,"Abl Mawsalek","Muslim - مُسلِم",3691,https://open.spotify.com/track/6382iMgZk6yyPg3htCkpB5
64,"Piece Of My Heart","Hussain Aljassmi",3664,https://open.spotify.com/track/0ifZ1W4CLyLdFzI29hmQFM
65,Woman,"Doja Cat",3622,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
66,Mraite,"Moustafa Max",3619,https://open.spotify.com/track/7mEO8E9koxx19CywaN0pwi
67,"كان نفسي",Wegz,3549,https://open.spotify.com/track/4AvJP6kNoa6Cua3cqlZmCm
68,الغسالة,Wegz,3545,https://open.spotify.com/track/7JAPo0o6KfpKdZiGLoRCNh
69,Beggin',Måneskin,3544,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
70,"El Gemeza","Marwan Pablo",3524,https://open.spotify.com/track/2w27LtQBJvauJ6vDw12ecs
71,"Law Hatsib","Mohamed Hamaki",3422,https://open.spotify.com/track/7h7FKF2JBDa6xChi3z9KxC
72,Hustla,Wegz,3397,https://open.spotify.com/track/26x46Jk6rpcfkT8xttvUCc
73,"El Donia El Helwa","Amr Diab",3390,https://open.spotify.com/track/6W6lYqKuPScYWchL6bS7Ly
74,"Ala Ba'ady",Afroto,3390,https://open.spotify.com/track/37Qs3XrDloB2ocXfAhVnmL
75,"Salamat Ala Nas Amaloly Ekhwat","Ameen Khattab",3374,https://open.spotify.com/track/4iRzMFqyNbX0xAY9iAtTic
76,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",3367,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
77,"MONTERO (Call Me By Your Name)","Lil Nas X",3360,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
78,"Hetta Tanya",Ruby,3344,https://open.spotify.com/track/5zn9ZT7dKnRX5fnYvb3loq
79,"Can I Get It",Adele,3160,https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN
80,"La Malama (Bonus Track)","Mohamed Hamaki",3154,https://open.spotify.com/track/5ZsSIC9ea0OEi7gMMv7b1t
81,"One Right Now (with The Weeknd)","Post Malone",3114,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
82,"Need to Know","Doja Cat",3110,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
83,"Msh Fair",Wegz,3037,https://open.spotify.com/track/1JdRPaDFswfqCpAhBPKqUw
84,"Wa7ed Wa7ed",Abyusif,3033,https://open.spotify.com/track/3LGjJIBJVbPOeuYcYQUJBy
85,"Kan Lak Ma'aya (Feat. Umm Kulthum)",Cairokee,3031,https://open.spotify.com/track/6EVt050wg9TQv9HpSn0Ke3
86,"Min Mafesh",Molotof,2993,https://open.spotify.com/track/4SeiaRJgwj6QxoHXWBytTF
87,ثرثرة,Lege-Cy,2989,https://open.spotify.com/track/1PN1vuSWAW9mlIZSgFrQ7y
88,"Ma3lesh Ana Toht",Abyusif,2968,https://open.spotify.com/track/5bWMX0CAw3ZSuUmBStnI23
89,"Happier Than Ever","Billie Eilish",2931,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
90,"Kol Youm","Ahmed Saad",2931,https://open.spotify.com/track/3iWRuqeYt3ezyPOSdVo9Hz
91,"El 3asal","Donia Wael",2927,https://open.spotify.com/track/5ecSRvEKkYarFYgyFgKak8
92,"Cry Your Heart Out",Adele,2921,https://open.spotify.com/track/09u787BYeYIGd2mFIJ505t
93,اللقطة,Wegz,2914,https://open.spotify.com/track/7ogUW23u5nQFB3SaLQuijX
94,"I Drink Wine",Adele,2886,https://open.spotify.com/track/6v0UJD4a2FtleHeSYVX02A
95,"مفيش مانع",Lege-Cy,2838,https://open.spotify.com/track/7KLy4f8VCsiIEYr69mC4uZ
96,"Geb Felos",Molotof,2837,https://open.spotify.com/track/71T1Jdg4J5uNesxvFa9hzZ
97,"To Be Loved",Adele,2829,https://open.spotify.com/track/10ImcQk9tihY1EKMDIbvXJ
98,"Ya Fatenny","Mohamed Hamaki",2806,https://open.spotify.com/track/2Sa5Yr7fUJVJWGH90IXnEU
99,Beluga,"Marwan Moussa",2805,https://open.spotify.com/track/3sHG3Wv2MqYFRZhUdnIXCO
100,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",2791,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
101,"lovely (with Khalid)","Billie Eilish",2785,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
102,TEENA,"El Joker",2765,https://open.spotify.com/track/4SkC4URje6uTXQfYyVNXzm
103,"Zahra Hala Helwa (Maa Myriam Fares W Asser Yassin)","Memaar Al Morshedy",2733,https://open.spotify.com/track/5ksURzwZba1aZd7LVyU9DL
104,"شقطت منك حبيبتك ياعم","حمو الطيخا",2715,https://open.spotify.com/track/1BApx7glGPbKRZ4Tqomd2f
105,"Law Kont","Akram Hosny",2703,https://open.spotify.com/track/1CSK54xG8dPzihikUOtrle
106,"Praise God","Kanye West",2640,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
107,"MA YORAM","Lil Baba",2634,https://open.spotify.com/track/683Itb2hzraMWPULIUzILJ
108,"ESCAPE PLAN","Travis Scott",2610,https://open.spotify.com/track/4R67rQNSbbsR4TdUVOIdez
109,"Bel Salama - Lorry Pt. 2 Remix",Molotof,2600,https://open.spotify.com/track/1OFqfSFPRN5hqTXz0WnUZB
110,Matgreesh,"VLI WEEZY",2596,https://open.spotify.com/track/3RKzFNbYS8iiBGJCrfbVbb
111,Dawla,3enba,2581,https://open.spotify.com/track/5BedaQpN3d92CLUVewl94E
112,"Eda Eda","El Sawareekh",2568,https://open.spotify.com/track/5srxSzbtZ1t2mL4QfQafYx
113,"Oyouno Lama Ablony","Ramy Sabry",2565,https://open.spotify.com/track/63SfVFcA5kGYX1qJKRHhXR
114,"Kol Elly Fi Alby","Muslim - مُسلِم",2522,https://open.spotify.com/track/0eCQyp0QixPbUn6yn0GIDg
115,"Kiss Me More (feat. SZA)","Doja Cat",2515,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
116,"MESH ZAY ELE 7ASO","El Joker",2510,https://open.spotify.com/track/7f9GYz8Hcb58pKxOddasNR
117,Haneialik,"Muslim - مُسلِم",2505,https://open.spotify.com/track/67vDEgA6mjoQnQUqmvMnsM
118,"Zayaha Meen","Mohamed Hamaki",2504,https://open.spotify.com/track/26YGvlmMNFT41QtXWGR0Xi
119,SAFINA,Mousv,2485,https://open.spotify.com/track/2imCmZa01FzAv5j0BiD9ab
120,"Blinding Lights","The Weeknd",2459,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
121,"ممنوع حد يقرب منك","Essam Saasa",2447,https://open.spotify.com/track/746Q5YMgrPz2tLACl93ZPl
122,"Hayaty Msh Tamam","Ramy Sabry",2416,https://open.spotify.com/track/5P1lXXSESjRau7dg9l6egg
123,"اندال اندال","Ahmed Moza",2410,https://open.spotify.com/track/6RpPYyGGMyDL9xfRcQfffj
124,"Alby Plastic",Ruby,2387,https://open.spotify.com/track/3d77XC3WK7ud2bP4JvyPZe
125,Atary,"Marwan Pablo",2375,https://open.spotify.com/track/082HYgmGx9V6hG5tpwwpp7
126,"متغاظ عارفك يلا مننا متغاظ","Mostafa el Degwy",2368,https://open.spotify.com/track/0sRMA5RMTncLpfZ6Uk9Wi1
127,"Astronaut In The Ocean","Masked Wolf",2358,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
128,"Ma 3Alena",Shahyn,2342,https://open.spotify.com/track/104MRaGd2mXgZigqpsMK7o
129,"Hamoot Men Gherha","Ramy Sabry",2338,https://open.spotify.com/track/2W4rmDnrHNGqT2xlsjmEWX
130,Tayarat,3enba,2311,https://open.spotify.com/track/55pEJb85n9e412CJtNugQN
131,Betadeen,Lege-Cy,2306,https://open.spotify.com/track/5SSh0fKEEkyaBGOhQG47AE
132,"Abu Mecca","Marwan Pablo",2304,https://open.spotify.com/track/0kRVLXoBrU3IaKGUknzzJs
133,"Hold On",Adele,2299,https://open.spotify.com/track/6bGMSP3H9YqkmaLnaJTIoF
134,"Woman Like Me",Adele,2299,https://open.spotify.com/track/2c6xRsQBv7pynuhYhWoHxo
135,Ouzoreny,"Khaled Essam El Deen",2294,https://open.spotify.com/track/7MklY2GT9V5Lnd8ieXfFQ4
136,"انا غلط وانت صح",مسلم,2293,https://open.spotify.com/track/1kLxQJLEyMXdy3RFj5x9Lh
137,"El Hob Fein","Marwan Pablo",2290,https://open.spotify.com/track/60Gq23sQOFobysukKlK6fb
138,"بوم طخ طخ","Essam Sasa",2269,https://open.spotify.com/track/5vIONI8kvsS4S6ogssrCNG
139,"Inn Ann",Daboor,2235,https://open.spotify.com/track/4FTGTibd0V8qZOTMwx7lG7
140,"Bad Habits","Ed Sheeran",2233,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
141,"Oloolo Samah","Tamer Ashour",2220,https://open.spotify.com/track/6dyQ4108zdBsO3Ygdf4Mne
142,"All Night Parking (with Erroll Garner) Interlude",Adele,2211,https://open.spotify.com/track/496vIKS2INz840xZaKncvR
143,"Leilet El Omr","Mohamed Hamaki",2204,https://open.spotify.com/track/0pAURGTZvKbI1NlpHyTk0o
144,"Ya Abyad Ya Eswed",Cairokee,2190,https://open.spotify.com/track/7MJGLlPFKG1g2p4Sa5gZog
145,"Another Love","Tom Odell",2180,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
146,"اي تي ام",Wegz,2178,https://open.spotify.com/track/5f9LkVShiWDnG5nVvZXNuu
147,"Han AlAn","Adham Nabulsi",2177,https://open.spotify.com/track/2MaVjzNUXijqQM9ULZMRzq
148,"Tamally Maak","Amr Diab",2167,https://open.spotify.com/track/6TYFcqqQVQPb3YsgfRhvqs
149,Narcos,Arsenik,2155,https://open.spotify.com/track/3EVvQT3vvXiBHOQwbMJMEZ
150,"مسجون حزين","Hamo ElTikha",2155,https://open.spotify.com/track/0TxEBrs9Py9uOxwOSYBROV
151,"كدا كدا",Wegz,2144,https://open.spotify.com/track/6nwosrtgAwdJghlDpqeKtM
152,"My Universe",Coldplay,2141,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
153,Nargasa,Shehab,2130,https://open.spotify.com/track/6C3b22RiVowlAiv0aDHvRl
154,Forsa,"Double Zuksh",2111,https://open.spotify.com/track/6tl8bNghUgqnBvdXQS16l0
155,"انتي معلمه","Omar Kamal",2083,https://open.spotify.com/track/4hblFPAEyTcgaMnaBNjx5Q
156,"good 4 u","Olivia Rodrigo",2076,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
157,"You Right","Doja Cat",2076,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
158,Agans,Shehab,2074,https://open.spotify.com/track/5biDlrBER5BUecUfzsCf1E
159,"Cold Heart - PNAU Remix","Elton John",2068,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
160,Bahebak,"Tamer Hosny",2060,https://open.spotify.com/track/6a4l9CrvajT9qtcFAY9oxk
161,"لعبة شيطان","Hamo Bika",2058,https://open.spotify.com/track/7IyjPiblGU4K3drFcYJ8NF
162,7Rb,Abyusif,2054,https://open.spotify.com/track/1m7ffTBuZaatStOR8Gj0nc
163,Saaba,"Tamer Hosny",2052,https://open.spotify.com/track/3SZ3zSiJynzOAXYqwQqXeG
164,"مش مسيكب",Shehab,2049,https://open.spotify.com/track/53YaSCGeoisD1W1BrtoIeN
165,"Fady Shewaya","Hamza Namira",2046,https://open.spotify.com/track/3qRGs7H1bPfshHh19syRKQ
166,"El 3bd W El Waili","El Waili",2043,https://open.spotify.com/track/6CFDWaN8XmEHGUgXG2MxaO
167,"Meen Fe Dol","Ahmed Kamel",2039,https://open.spotify.com/track/63uctqlwCI5AxXYmpTVO2Z
168,"El Gholaf X Ozoris","Marwan Pablo",2037,https://open.spotify.com/track/5M7EIx94YOdh1uH0qlzxuK
169,"3ayz Fin","Marwan Pablo",2032,https://open.spotify.com/track/0PmwGroz5BHqUSVpQgfZXX
170,"Love Is A Game",Adele,2030,https://open.spotify.com/track/2j3GxEsbNYNeEzz86wDY4J
171,"عايز انام",Shehab,2026,https://open.spotify.com/track/5D78qFr9HtWkUeJ21YxuuZ
172,"Rolling in the Deep",Adele,2003,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
173,"مهرجان اخواتى","El Sawareekh",1992,https://open.spotify.com/track/44p2pP4M0J6ZlEEyIpQu6R
174,Tameneni,"Resha Costa",1986,https://open.spotify.com/track/1LBnLlVug13kIthC9VtMcJ
175,"Beny W Benk","Mohammed Saeed",1981,https://open.spotify.com/track/27e7dSRZoeGaq1FzbKHUBP
176,Arcade,"Duncan Laurence",1968,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
177,Hope,XXXTENTACION,1967,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
178,Moonlight,XXXTENTACION,1965,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
179,"Playground (from the series Arcane League of Legends)","Bea Miller",1960,https://open.spotify.com/track/5f2zZawBtGBEw24ABweErz
180,Shivers,"Ed Sheeran",1956,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
181,AMTAR,Mousv,1952,https://open.spotify.com/track/5AGeNYpstVBpFn8IW2KqS7
182,"Raghm El Masafa","Massar Egbari",1942,https://open.spotify.com/track/2pL1V75Sv9ZUTJuWrRcu0v
183,"Sweater Weather","The Neighbourhood",1933,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
184,لغبطيطا,"Omar Kamal",1928,https://open.spotify.com/track/73wCLmIvEKJFU6aVHWsjjG
185,"Save Your Tears","The Weeknd",1926,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
186,Ouly,"Ahmed Kamel",1913,https://open.spotify.com/track/1GMfL5Bu97xGltZ2lKc5u9
187,"نهاية العالم","Marwan Moussa",1904,https://open.spotify.com/track/1UBV1JRYrzWwzmFsEQq3Ea
188,Mesa,Abyusif,1903,https://open.spotify.com/track/6jdmXmqrbCqLqwin2W0hmj
189,Amrikkka,Shabjdeed,1901,https://open.spotify.com/track/55LLrj5aARUqCLoDEwAp7v
190,ساليني,Wegz,1898,https://open.spotify.com/track/2GNTDHhyRGkIWfGdjlmb06
191,Don,"Marwan Pablo",1897,https://open.spotify.com/track/4bjdKuJEtkr8IEwBiqyxAq
192,"Youm Talat (Remix)","Amr Diab",1897,https://open.spotify.com/track/2TznqL40ViRp3ml3IRmusl
193,"انا بعشقني اوي يابا","Essam Saasa",1893,https://open.spotify.com/track/4N9iyh8Zls8zxW7Low7uK8
194,"OH LA LA",Abyusif,1885,https://open.spotify.com/track/7szxnRifEXBS5rvLn0ZDdB
195,"Mesh Aader Ansa","Mohamed Hamaki",1885,https://open.spotify.com/track/5WrZCiz4i3bkfElAC23iTc
196,"Los Cuervos",Abyusif,1880,https://open.spotify.com/track/5cFMDO5EISsRI0gFB0sJIL
197,"Tgely Sob7",Abyusif,1858,https://open.spotify.com/track/25EnykkWUwgKCSRgT0D2hG
198,"Bestek Now",Shahyn,1847,https://open.spotify.com/track/3e1PxagfpNmZl8HzssQl5F
199,"Let Me Down Slowly","Alec Benjamin",1844,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
200,"Smokin Out The Window","Bruno Mars",1840,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
